;Topic_Nr;Words;Probability
26;26;erkundigung, proposition, zöll, Lübeckh, beratschlagung, puncten, Worms, Georg, einzunemmen, Rein;0.011931567, 0.011835386, 0.009458174, 0.009256411, 0.009097326, 0.008963858, 0.0074849827, 0.0073919, 0.007379578, 0.0072478983
27;27;hertzog, hülff, bedenckhen, 8, supplication, sagt, gesandter, Mechelburg, Philips, votum;0.008347478, 0.0069867633, 0.006750871, 0.005708279, 0.0054302015, 0.005174242, 0.005039869, 0.004921857, 0.0041683735, 0.004050974
28;28;räth, proposition, sachen, graffen, rath, articl, Österreich, tag, berathschlagung, gesandte;0.014498519, 0.012711751, 0.011518099, 0.011050605, 0.010759547, 0.009224323, 0.00825843, 0.0075845206, 0.00733681, 0.0073254397
29;29;ordnung, Stendt, ad, 2, stendt, articulo, Quantum, gewerb, gehandlet, stenden;0.006515838, 0.006503418, 0.0044015003, 0.0043736617, 0.0043715583, 0.004351049, 0.0043510464, 0.0043510464, 0.0043510455, 0.0043510455
30;30;monat, rath, gemeinen, pfennig, abzulesen, sache, 16, hulffen, monaten, 24;0.0137298545, 0.012073774, 0.008588158, 0.008555094, 0.0073965387, 0.0073534707, 0.0069180694, 0.006752467, 0.0066307695, 0.0055097276
31;31;räth, selbigen, causa, bedennckhen, gleichen, fuldensi, fürstenraths, guet, bedunckhen, September;0.010289716, 0.010087587, 0.008911189, 0.007620602, 0.007619713, 0.007603516, 0.0073981592, 0.0070669097, 0.0070414003, 0.005933802
32;32;Dr, zureferirn, schickhung, hertzog, partem, ursachen, Meintz, zuschickhen, rath, angezeigt;0.010994346, 0.008968829, 0.008016636, 0.007562006, 0.007488352, 0.006560664, 0.005952883, 0.0051884796, 0.0050308174, 0.0048504034
33;33;usschus, festum, legatus, stenden, sachen, junge, anzal, begeben, Augusti, election;0.0087974835, 0.008674916, 0.008239724, 0.007669697, 0.0059330193, 0.005507171, 0.0051571648, 0.0049710455, 0.004545112, 0.00417644
34;34;gravamina, catholische, catholischen, specie, religion, genere, kirchen, lutherischen, Gravamina, domit;0.01348778, 0.011467199, 0.009659568, 0.008383207, 0.0083227055, 0.008255415, 0.0070640594, 0.006765873, 0.006760851, 0.0052188137
35;35;Trier, Reich, Sachsen, Reichs, sachen, Pfaltz, müntzen, müntzordnung, monat, müntz;3.9200248e-05, 3.919998e-05, 3.9199902e-05, 3.9199895e-05, 3.919986e-05, 3.9199847e-05, 3.919982e-05, 3.9199775e-05, 3.9199622e-05, 3.9199593e-05
36;36;Luttich, gravamina, Berg, schrifften, zuhören, zuhoren, stende, sachen, decreten, geschlossen;0.016567064, 0.009208319, 0.008498093, 0.0068555763, 0.0066275955, 0.0064533143, 0.0058447435, 0.005613724, 0.0055494206, 0.0047740988
37;37;Trier, ad, Pfaltz, moderation, Reichs, Metz, Maintz, Reich, jar, Regenspurg;0.017999506, 0.009769042, 0.009444544, 0.007653539, 0.007420696, 0.0066579417, 0.0066571496, 0.006561842, 0.005919786, 0.0057729883
38;38;erclert, augspurgischer, confession, theil, selbst, schriften, ausschuß, rhum, polonischen, befurderung;0.007598955, 0.0050743343, 0.005074332, 0.0050743246, 0.005074324, 0.005074324, 0.0050743236, 0.0050743227, 0.005074322, 0.005074322
39;39;stende, müntzordnung, gar, herrn, müntzen, graven, müntz, crais, Bairn, anno;3.9199746e-05, 3.9199298e-05, 3.919928e-05, 3.9199247e-05, 3.9199236e-05, 3.9199233e-05, 3.9199225e-05, 3.919922e-05, 3.9199193e-05, 3.919919e-05
40;40;catholischen, landtfridens, handlung, stenden, schreiben, stendt, pollnische, Moscau, refferiert, articl;0.008582946, 0.0060561136, 0.005850957, 0.00582025, 0.0057873344, 0.005753345, 0.005731407, 0.005731407, 0.005731407, 0.005731407
41;41;besatzung, schrifften, ordinari, 200000, Augusti, etlich, proceß, stenden, ubergeben, grenitz;0.012365032, 0.0074693374, 0.0074288296, 0.0073496467, 0.0052881204, 0.00512134, 0.0049840156, 0.0049607186, 0.0049607186, 0.004960718
42;42;session, romer, Reichs, zugk, instruction, schickung, legation, stimb, ferners, rath;0.017025614, 0.015209127, 0.013102739, 0.010968715, 0.009800906, 0.008563493, 0.007183433, 0.0064976355, 0.0056041647, 0.005513661
43;43;mandata, constitution, Placet, underthonen, declaration, ad, clausula, propter, sine, iustitiae;0.012039369, 0.010497516, 0.008148093, 0.0077948445, 0.00586938, 0.005765387, 0.005419556, 0.0051470255, 0.0050111245, 0.0047936416
44;44;verloren, gar, villeicht, mherertheils, wenig, Augusti, Reich, recht, türckh, etlich;0.005359477, 0.005135317, 0.0048200227, 0.0045958664, 0.004553195, 0.0044279066, 0.004409081, 0.004274423, 0.0041748285, 0.0039330777
45;45;sachen, zolle, anno, newe, Hagenauw, iustitia, personen, Trier, rethe, zuweisen;0.007074325, 0.0069858567, 0.0066035646, 0.0063138693, 0.0059269345, 0.005889283, 0.005497105, 0.0053554834, 0.0051332647, 0.0049112774
