PID;div_ID;file_name;title;date;topics
        rta1576.edd1e11W110511;d1e5711t18d0707;rta1576.edd1e11W110511-d1e5711t18d0707.txt;Kurfürstenratsprotokoll Mainz Abs. 237;1576-07-07;listterm:sd1e7182 listterm:sd1e74 listterm:sd1e46 listterm:sd1e1415 listterm:sd1e110 listterm:sd1e1386 listterm:sd1e24 listterm:sd1e784 listterm:sd1e719 listterm:sd1e712 listterm:sd1e1222 listterm:sd1e1049 listterm:sd1e1250 listterm:sd1e669 listterm:sd1e970
        rta1576.edd1e11W110511;d1e6221t19d0708;rta1576.edd1e11W110511-d1e6221t19d0708.txt;Kurfürstenratsprotokoll Mainz Abs. 264;1576-07-08;
        rta1576.edd1e11W110511;d1e6227t20d0709;rta1576.edd1e11W110511-d1e6227t20d0709.txt;Kurfürstenratsprotokoll Mainz Abs. 265;1576-07-09;listterm:sd1e970 listterm:sd1e7182 listterm:sd1e46 listterm:sd1e719 listterm:sd1e712 listterm:sd1e96 listterm:sd1e1415 listterm:sd1e74 listterm:sd1e1293 listterm:sd1e784 listterm:sd1e1250 listterm:sd1e777 listterm:sd1e762 listterm:sd1e949 listterm:sd1e1135 listterm:sd1e282 listterm:sd1e970 listterm:sd1e253 listterm:sd1e1222 listterm:sd1e1551 listterm:sd1e3 listterm:sd1e10 listterm:sd1e39
        rta1576.edd1e11W110511;d1e6653t21d0710;rta1576.edd1e11W110511-d1e6653t21d0710.txt;Kurfürstenratsprotokoll Mainz Abs. 290;1576-07-10;listterm:sd1e7182 listterm:sd1e46 listterm:sd1e74 listterm:sd1e784 listterm:sd1e146 listterm:sd1e96 listterm:sd1e1135 listterm:sd1e246 listterm:sd1e282 listterm:sd1e1028 listterm:sd1e332
        rta1576.edd1e11W110511;d1e6916t22d0711;rta1576.edd1e11W110511-d1e6916t22d0711.txt;Kurfürstenratsprotokoll Mainz Abs. 311;1576-07-11;listterm:sd1e7182 listterm:sd1e46 listterm:sd1e74 listterm:sd1e96 listterm:sd1e1343 listterm:sd1e10 listterm:sd1e784 listterm:sd1e1135 listterm:sd1e146 listterm:sd1e9135 listterm:sd1e970
        rta1576.edd1e11W110511;d1e7215t23d0712;rta1576.edd1e11W110511-d1e7215t23d0712.txt;Kurfürstenratsprotokoll Mainz Abs. 338;1576-07-12;listterm:sd1e1128 listterm:sd1e784 listterm:sd1e770 listterm:sd1e777 listterm:sd1e762 listterm:sd1e949 listterm:sd1e1386 listterm:sd1e7143
        rta1576.edd1e11W110511;d1e7395t24d0713;rta1576.edd1e11W110511-d1e7395t24d0713.txt;Kurfürstenratsprotokoll Mainz Abs. 344;1576-07-13;listterm:sd1e7143 listterm:sd1e784 listterm:sd1e770
        rta1576.edd1e11W110511;d1e7427t25d0714;rta1576.edd1e11W110511-d1e7427t25d0714.txt;Kurfürstenratsprotokoll Mainz Abs. 347;1576-07-14;listterm:sd1e1142 listterm:sd1e1028 listterm:sd1e784 listterm:sd1e762 listterm:sd1e949
        rta1576.edd1e11W110511;d1e7490t26d0716;rta1576.edd1e11W110511-d1e7490t26d0716.txt;Kurfürstenratsprotokoll Mainz Abs. 351;1576-07-16;listterm:sd1e1142 listterm:sd1e1028 listterm:sd1e669
        rta1576.edd1e11W110511;d1e7513t27d0717;rta1576.edd1e11W110511-d1e7513t27d0717.txt;Kurfürstenratsprotokoll Mainz Abs. 353;1576-07-17;listterm:sd1e7182 listterm:sd1e46 listterm:sd1e74 listterm:sd1e8293 listterm:sd1e784 listterm:sd1e96 listterm:sd1e110 listterm:sd1e1415 listterm:sd1e1400 listterm:sd1e762 listterm:sd1e949 listterm:sd1e906 listterm:sd1e719 listterm:sd1e970
