PID;div_ID;file_name;title;date;topics
            rta1576.edd1e10k119111;d1e34t0d0712;rta1576.edd1e10k119111-d1e34t0d0712.txt;Auszug aus dem Fürstenratsprotokoll Straßburg Abs. 15v;1576-07-12;listterm:sd1e1128 listterm:sd1e784 listterm:sd1e770 listterm:sd1e777 listterm:sd1e762 listterm:sd1e949 listterm:sd1e1357 listterm:sd1e1386
        rta1576.edd1e10k119111;d1e383t1d0713;rta1576.edd1e10k119111-d1e383t1d0713.txt;Auszug aus dem Fürstenratsprotokoll Straßburg Abs. 61;1576-07-13;listterm:sd1e7143 listterm:sd1e770 listterm:sd1e777
        rta1576.edd1e10k119111;d1e424t2d0714;rta1576.edd1e10k119111-d1e424t2d0714.txt;Auszug aus dem Fürstenratsprotokoll Straßburg Abs. 64;1576-07-14;listterm:sd1e1142 listterm:sd1e1028 listterm:sd1e784 listterm:sd1e770 listterm:sd1e777 listterm:sd1e1386 listterm:sd1e762 listterm:sd1e949
        rta1576.edd1e10k119111;d1e589t3d0815;rta1576.edd1e10k119111-d1e589t3d0815.txt;Auszug aus dem Fürstenratsprotokoll Straßburg Abs. 75;1576-08-15 1576;listterm:sd1e1128 listterm:sd1e1142 listterm:sd1e1028 listterm:sd1e762 listterm:sd1e949 listterm:sd1e770 listterm:sd1e1386 listterm:sd1e777 listterm:sd1e1250
        rta1576.edd1e10k119111;d1e770t4d0916;rta1576.edd1e10k119111-d1e770t4d0916.txt;Auszug aus dem Fürstenratsprotokoll Straßburg Abs. 91;1576-09-16;listterm:sd1e1128 listterm:sd1e784 listterm:sd1e2333 listterm:sd1e762 listterm:sd1e949
        
