PID;div_ID;file_name;title;date;topics
            rta1576.edd1e8m515511;d1e35t0d0712;rta1576.edd1e8m515511-d1e35t0d0712.txt;Auszug aus dem Fürstenratsprotokoll Eichstätt Abs. 11r;1576-07-12;listterm:sd1e1128 listterm:sd1e770 listterm:sd1e777 listterm:sd1e784 listterm:sd1e762 listterm:sd1e949
        rta1576.edd1e8m515511;d1e173t1d0713;rta1576.edd1e8m515511-d1e173t1d0713.txt;Auszug aus dem Fürstenratsprotokoll Eichstätt Abs. 6;1576-07-13;listterm:sd1e7143 listterm:sd1e784 listterm:sd1e770 listterm:sd1e777 listterm:sd1e762 listterm:sd1e949 listterm:sd1e1372 listterm:sd1e1386 listterm:sd1e5634 listterm:sd1e1400 listterm:sd1e983
        rta1576.edd1e8m515511;d1e271t2d0714;rta1576.edd1e8m515511-d1e271t2d0714.txt;Auszug aus dem Fürstenratsprotokoll Eichstätt Abs. 12;1576-07-14;listterm:sd1e1142 listterm:sd1e1028 listterm:sd1e784 listterm:sd1e770 listterm:sd1e777
        rta1576.edd1e8m515511;d1e327t3d0827;rta1576.edd1e8m515511-d1e327t3d0827.txt;Auszug aus dem Fürstenratsprotokoll Eichstätt Abs. 15;1576-08-27;listterm:sd1e1142 listterm:sd1e1028 listterm:sd1e784 listterm:sd1e777 listterm:sd1e770 listterm:sd1e762 listterm:sd1e949
        rta1576.edd1e8m515511;d1e375t4d0828;rta1576.edd1e8m515511-d1e375t4d0828.txt;Auszug aus dem Fürstenratsprotokoll Eichstätt Abs. 18;1576-08-28;listterm:sd1e1128 listterm:sd1e784 listterm:sd1e2333
        rta1576.edd1e8m515511;d1e408t5d0912;rta1576.edd1e8m515511-d1e408t5d0912.txt;Auszug aus dem Fürstenratsprotokoll Eichstätt Abs. 22;1576-09-12;listterm:sd1e7143 listterm:sd1e2333 listterm:sd1e9821 listterm:sd1e3453
        rta1576.edd1e8m515511;d1e458t6d0913;rta1576.edd1e8m515511-d1e458t6d0913.txt;Auszug aus dem Fürstenratsprotokoll Eichstätt Abs. 25;1576-09-13;listterm:sd1e7143 listterm:sd1e777 listterm:sd1e2333 listterm:sd1e762 listterm:sd1e949
        rta1576.edd1e8m515511;d1e493t7d0916;rta1576.edd1e8m515511-d1e493t7d0916.txt;Auszug aus dem Fürstenratsprotokoll Eichstätt Abs. 28;1576-09-16;listterm:sd1e1128 listterm:sd1e2333 listterm:sd1e762 listterm:sd1e949 listterm:sd1e9821
        
