PID;div_ID;file_name;title;date;topics
            rta1576.edd1e8m531431;d1e34t0d0712;rta1576.edd1e8m531431-d1e34t0d0712.txt;Auszug aus dem Fürstenratsprotokoll Österreich-Tirol Abs. 1;1576-07-12;listterm:sd1e1128 listterm:sd1e784 listterm:sd1e762 listterm:sd1e949 listterm:sd1e770 listterm:sd1e777 listterm:sd1e7143
        rta1576.edd1e8m531431;d1e265t1d0713;rta1576.edd1e8m531431-d1e265t1d0713.txt;Auszug aus dem Fürstenratsprotokoll Österreich-Tirol Abs. 10;1576-07-13;listterm:sd1e7143 listterm:sd1e770 listterm:sd1e777 listterm:sd1e970
        rta1576.edd1e8m531431;d1e326t2d0714;rta1576.edd1e8m531431-d1e326t2d0714.txt;Auszug aus dem Fürstenratsprotokoll Österreich-Tirol Abs. 13;1576-07-14;listterm:sd1e1142 listterm:sd1e1028 listterm:sd1e784 listterm:sd1e762 listterm:sd1e949
        rta1576.edd1e8m531431;d1e389t3d0916;rta1576.edd1e8m531431-d1e389t3d0916.txt;Auszug aus dem Fürstenratsprotokoll Österreich-Tirol Abs. 17;1576-09-16;listterm:sd1e1128 listterm:sd1e784 listterm:sd1e2333
        
