PID;div_ID;file_name;title;date;topics
        rta1576.edd1e7w152270;d1e5268t15d0720;rta1576.edd1e7w152270-d1e5268t15d0720.txt;Fürstenratsprotokoll Österreich Abs. 265;1576-07-20;listterm:sd1e1092 listterm:sd1e46 listterm:sd1e96 listterm:sd1e146 listterm:sd1e949 listterm:sd1e110 listterm:sd1e519 listterm:sd1e891 listterm:sd1e332 listterm:sd1e1479 listterm:sd1e963 listterm:sd1e246 listterm:sd1e24 listterm:sd1e89 listterm:sd1e74
        rta1576.edd1e7w152270;d1e5470t16d0721;rta1576.edd1e7w152270-d1e5470t16d0721.txt;Fürstenratsprotokoll Österreich Abs. 285;1576-07-21;listterm:sd1e123 listterm:sd1e1551 listterm:sd1e1222 listterm:sd1e3 listterm:sd1e96 listterm:sd1e1092 listterm:sd1e46 listterm:sd1e74 listterm:sd1e10 listterm:sd1e122 listterm:sd1e1192 listterm:sd1e146 listterm:sd1e949 listterm:sd1e89 listterm:sd1e110 listterm:sd1e519 listterm:sd1e1343 listterm:sd1e1400 listterm:sd1e497 listterm:sd1e784 listterm:sd1e1135 listterm:sd1e1293 listterm:sd1e719 listterm:sd1e1264 listerm:sd1e1329 listterm:sd1e1415 listterm:sd1e1250
        rta1576.edd1e7w152270;d1e6156t17d0723;rta1576.edd1e7w152270-d1e6156t17d0723.txt;Fürstenratsprotokoll Österreich Abs. 331;1576-07-23;listterm:sd1e6273 listterm:sd1e970 listterm:sd1e39 listterm:sd1e123 listterm:sd1e46 listterm:sd1e74
        rta1576.edd1e7w152270;d1e6411t18d0724;rta1576.edd1e7w152270-d1e6411t18d0724.txt;Fürstenratsprotokoll Österreich Abs. 343;1576-07-24;listterm:sd1e6273 listterm:sd1e1222 listterm:sd1e1551 listterm:sd1e3 listterm:sd1e96 listterm:sd1e253 listterm:sd1e74 listterm:sd1e46 listterm:sd1e110 listterm:sd1e1157 listterm:sd1e1185 listterm:sd1e12035 listterm:sd1e246
        rta1576.edd1e7w152270;d1e6587t19d0728;rta1576.edd1e7w152270-d1e6587t19d0728.txt;Fürstenratsprotokoll Österreich Abs. 354;1576-07-27;listterm:sd1e123 listterm:sd1e6273 listterm:sd1e39 listterm:sd1e110 listterm:sd1e1415 listterm:sd1e1400
        rta1576.edd1e7w152270;d1e6661t20d0728;rta1576.edd1e7w152270-d1e6661t20d0728.txt;Fürstenratsprotokoll Österreich Abs. 358;1576-07-29;listterm:sd1e1142 listterm:sd1e1028 listterm:sd1e39 listterm:sd1e870 listterm:sd1e123 listterm:sd1e669 listterm:sd1e655 listterm:sd1e1400 listterm:sd1e1415 listterm:sd1e1092 listterm:sd1e698 listterm:sd1e641 listterm:sd1e691 listterm:sd1e282 listterm:sd1e469 listterm:sd1e1221
        rta1576.edd1e7w152270;d1e7155t21d0730;rta1576.edd1e7w152270-d1e7155t21d0730.txt;Fürstenratsprotokoll Österreich Abs. 377;1576-07-30;listterm:sd1e123 listterm:sd1e655 listterm:sd1e870 listterm:sd1e1092
        rta1576.edd1e7w152270;d1e7196t22d0731;rta1576.edd1e7w152270-d1e7196t22d0731.txt;Fürstenratsprotokoll Österreich Abs. 383;1576-07-31;listterm:sd1e123 listterm:sd1e870 listterm:sd1e1092 listterm:sd1e39 listterm:sd1e146 listterm:sd1e712 listterm:sd1e469 listterm:sd1e1343 listterm:sd1e282
        rta1576.edd1e7w152270;d1e7290t23d0801;rta1576.edd1e7w152270-d1e7290t23d0801.txt;Fürstenratsprotokoll Österreich Abs. 390;1576-08-01;listterm:sd1e1092 listterm:sd1e146 listterm:sd1e949 listterm:sd1e175 listterm:sd1e1479 listterm:sd1e1357 listterm:sd1e1386 listterm:sd1e1214 listterm:sd1e1400 listterm:sd1e1415 listterm:sd1e397 listterm:sd1e834 listterm:sd1e762 listterm:sd1e1286 listterm:sd1e246 listterm:sd1e784
        rta1576.edd1e7w152270;d1e7706t24d0802;rta1576.edd1e7w152270-d1e7706t24d0802.txt;Fürstenratsprotokoll Österreich Abs. 406;1576-08-02;listterm:sd1e123 listterm:sd1e146 listterm:sd1e175 listterm:sd1e762 listterm:sd1e949 listterm:sd1e784 listterm:sd1e719 listterm:sd1e1135 listterm:sd1e6273 listterm:sd1e927 listterm:sd1e1479 listterm:sd1e655 listterm:sd1e641 listterm:sd1e698 listterm:sd1e1415 listterm:sd1e1221 listterm:sd1e1250 listterm:sd1e712 listterm:sd1e282 listterm:sd1e469 listterm:sd1e253
