PID;div_ID;file_name;title;date;topics
            rta1576.edd1e7w15fr04;d1e91t0d0806;rta1576.edd1e7w15fr04-d1e91t0d0806.txt;Auszug aus dem Fürstenratsprotokoll Augsburg Abs. 45r;1576-08-06;listterm:sd1e1092 listterm:sd1e454 listterm:sd1e332 listterm:sd1e397 listterm:sd1e1415 listterm:sd1e282
        rta1576.edd1e7w15fr04;d1e277t1d0809;rta1576.edd1e7w15fr04-d1e277t1d0809.txt;Auszug aus dem Fürstenratsprotokoll Augsburg Abs. 15;1576-08-09;listterm:sd1e1092 listterm:sd1e497 listterm:sd1e519 listterm:sd1e397 listterm:sd1e1479 listterm:sd1e454 listterm:sd1e1343 listterm:sd1e1415 listterm:sd1e1221
        rta1576.edd1e7w15fr04;d1e357t2d0811;rta1576.edd1e7w15fr04-d1e357t2d0811.txt;Auszug aus dem Fürstenratsprotokoll Augsburg Abs. 23;1576-08-11;listterm:sd1e1092 listterm:sd1e497 listterm:sd1e519 listterm:sd1e397
        rta1576.edd1e7w15fr04;d1e378t3d0813;rta1576.edd1e7w15fr04-d1e378t3d0813.txt;Auszug aus dem Fürstenratsprotokoll Augsburg Abs. 25;1576-08-13;listterm:sd1e497 listterm:sd1e1092 listterm:sd1e519
        rta1576.edd1e7w15fr04;d1e396t4d0816;rta1576.edd1e7w15fr04-d1e396t4d0816.txt;Auszug aus dem Fürstenratsprotokoll Augsburg Abs. 28;1576-08-16;listterm:sd1e1092 listterm:sd1e497 listterm:sd1e519 listterm:sd1e397 listterm:sd1e1235 listterm:sd1e1472
        
